Counts_,ICD-9 description_,Subgroups_,ICD-9
16,",Asthma, unspecified type, with (acute) exacerbation                                                                             ,",asthma,",493.92                                                                                                                          ,"
10,",Chronic obstructive asthma with (acute) exacerbation                                                                            ,",asthma,",493.22                                                                                                                          ,"
13,"_Neoplasm related pain (acute) (chronic)                                                                                         ,",cancer,",338.3                                                                                                                           ,"
12,",Secondary malignant neoplasm of brain and spinal cord                                                                           ,",cancer,",198.3                                                                                                                           ,"
8,",Secondary malignant neoplasm of bone and bone marrow                                                                            ,",cancer,",198.5                                                                                                                           ,"
6,",Malignant neoplasm of bronchus and lung, unspecified                                                                            ,",cancer,",162.9                                                                                                                           ,"
6,",Secondary malignant neoplasm of retroperitoneum and peritoneum                                                                  ,",cancer,",197.6                                                                                                                           ,"
4,",Malignant neoplasm of base of tongue                                                                                            ,",cancer,",141.0                                                                                                                           ,"
4,",Malignant neoplasm of ascending colon                                                                                           ,",cancer,",153.6                                                                                                                           ,"
4,",Malignant neoplasm of bladder, part unspecified                                                                                 ,",cancer,",188.9                                                                                                                           ,"
4,",Malignant neoplasm of liver, secondary                                                                                          ,",cancer,",197.7                                                                                                                           ,"
4,"_Multiple myeloma, without mention of having achieved remission                                                                  ,",cancer,",203.00                                                                                                                          ,"
3,",Benign neoplasm of cerebral meninges                                                                                            ,",cancer,",225.2                                                                                                                           ,"
2,",Malignant neoplasm of tonsil                                                                                                    ,",cancer,",146.0                                                                                                                           ,"
2,",Malignant neoplasm of lower third of esophagus                                                                                  ,",cancer,",150.5                                                                                                                           ,"
2,",Malignant neoplasm of cardia                                                                                                    ,",cancer,",151.0                                                                                                                           ,"
2,",Malignant neoplasm of stomach, unspecified site                                                                                 ,",cancer,",151.9                                                                                                                           ,"
2,",Malignant neoplasm of hepatic flexure                                                                                           ,",cancer,",153.0                                                                                                                           ,"
2,",Malignant neoplasm of liver, primary                                                                                            ,",cancer,",155.0                                                                                                                           ,"
2,",Malignant neoplasm of intrahepatic bile ducts                                                                                   ,",cancer,",155.1                                                                                                                           ,"
2,",Malignant neoplasm of tail of pancreas                                                                                          ,",cancer,",157.2                                                                                                                           ,"
2,",Malignant neoplasm of pancreatic duct                                                                                           ,",cancer,",157.3                                                                                                                           ,"
2,",Malignant neoplasm of long bones of lower limb                                                                                  ,",cancer,",170.7                                                                                                                           ,"
2,",Malignant neoplasm of connective and other soft tissue of thorax                                                                ,",cancer,",171.4                                                                                                                           ,"
2,",Malignant neoplasm of breast (female), unspecified                                                                              ,",cancer,",174.9                                                                                                                           ,"
2,",Malignant neoplasm of cervix uteri, unspecified site                                                                            ,",cancer,",180.9                                                                                                                           ,"
2,",Malignant neoplasm of ovary                                                                                                     ,",cancer,",183.0                                                                                                                           ,"
2,",Malignant neoplasm of other specified sites of bladder                                                                          ,",cancer,",188.8                                                                                                                           ,"
2,",Malignant neoplasm of parietal lobe                                                                                             ,",cancer,",191.3                                                                                                                           ,"
2,",Malignant neoplasm of brain, unspecified                                                                                        ,",cancer,",191.9                                                                                                                           ,"
2,",Malignant neoplasm of spinal cord                                                                                               ,",cancer,",192.2                                                                                                                           ,"
2,",Secondary malignant neoplasm of other digestive organs and spleen                                                               ,",cancer,",197.8                                                                                                                           ,"
2,",Secondary malignant neoplasm of other specified sites                                                                           ,",cancer,",198.89                                                                                                                          ,"
7,",Diabetes with neurological manifestations, type I [juvenile type], uncontrolled                                                 ,",diabetes,",250.63                                                                                                                          ,"
6,",Diabetes with ketoacidosis, type I [juvenile type], uncontrolled                                                                ,",diabetes,",250.13                                                                                                                          ,"
4,",Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled                           ,",diabetes,",250.80                                                                                                                          ,"
4,",Diabetes with other specified manifestations, type II or unspecified type, uncontrolled                                         ,",diabetes,",250.82                                                                                                                          ,"
52,",Acute on chronic diastolic heart failure                                                                                        ,",Heart disease,",428.33                                                                                                                          ,"
38,",Atrial fibrillation                                                                                                             ,",Heart disease,",427.31                                                                                                                          ,"
34,",Subendocardial infarction, initial episode of care                                                                              ,",Heart disease,",410.71                                                                                                                          ,"
33,",Acute on chronic combined systolic and diastolic heart failure                                                                  ,",Heart disease,",428.43                                                                                                                          ,"
30,",Coronary atherosclerosis of native coronary artery                                                                              ,",Heart disease,",414.01                                                                                                                          ,"
26,",Acute on chronic systolic heart failure                                                                                         ,",Heart disease,",428.23                                                                                                                          ,"
16,",Cerebral artery occlusion, unspecified with cerebral infarction                                                                 ,",Heart disease,",434.91                                                                                                                          ,"
